developer_name,folder_category,source_file,source_format,file_size_kb,records_extracted_count,extraction_engines_used,status
Godrej Properties,Godrej Properties,Godrej Properties\Godrej Indiranagar_Brochure_9 April _26.pdf,PDF_NATIVE,8452.8,10,"PDF Table (Pg 13), PDF Table (Pg 14), PDF Table (Pg 9), PDF Text Analysis (Pg 22), PDF Text Analysis (Pg 7)",100% EXTRACTED
Gopalan Enterprises,Gopalan Enterprises,Gopalan Enterprises\WORKSPACE INVENTORY PRESENTATION - AUGUST 2026 (1).pdf,PDF_SCANNED,13186.43,5,"Tesseract OCR Scanned PDF (Pg 1), Tesseract OCR Scanned PDF (Pg 2), Tesseract OCR Scanned PDF (Pg 3), Tesseract OCR Scanned PDF (Pg 4), Tesseract OCR Scanned PDF (Pg 5)",100% EXTRACTED
Gopalan Enterprises,Gopalan Enterprises,Gopalan Enterprises\WORKSPACE INVENTORY PRESENTATION - JULY 2026 K.pdf,PDF_NATIVE,1809.44,10,"PDF Table (Pg 3), PDF Table (Pg 4), PDF Table (Pg 5), PDF Text Analysis (Pg 9)",100% EXTRACTED
HM Group,HM Group,HM Group\HM Commercial Availability - July 2026.pdf,PDF_NATIVE,220.56,9,"PDF Table (Pg 2), PDF Text Analysis (Pg 1)",100% EXTRACTED
Indospace_South,Indospace_South,Indospace_South\Indospace_South I_August 2026 ( Inventory) .pdf,PDF_NATIVE,3236.45,11,"PDF Table (Pg 4), PDF Text Analysis (Pg 12), PDF Text Analysis (Pg 3), PDF Text Analysis (Pg 5), PDF Text Analysis (Pg 7)",100% EXTRACTED
Indraprastha Shelters Pvt. Ltd,Indraprastha Shelters Pvt. Ltd,Indraprastha Shelters Pvt. Ltd\Indraprastha Equinox 15000 sft 1st floor fully furnished ppt.pptx,PPTX,3195.92,13,"PPTX Table (Slide 8), PPTX Table (Slide 9)",100% EXTRACTED
Indraprastha Shelters Pvt. Ltd,Indraprastha Shelters Pvt. Ltd,Indraprastha Shelters Pvt. Ltd\Indraprastha Equinox 15000 sft 3rd floor fully furnished.pdf,PDF_SCANNED,650.08,1,Tesseract OCR Scanned PDF (Pg 1),100% EXTRACTED
Indraprastha Shelters Pvt. Ltd,Indraprastha Shelters Pvt. Ltd,Indraprastha Shelters Pvt. Ltd\Indraprastha Equinox 6000 sft 2nd floor fully furnished ppt.pptx,PPTX,3502.06,13,"PPTX Table (Slide 8), PPTX Table (Slide 9)",100% EXTRACTED
Indraprastha Shelters Pvt. Ltd,Indraprastha Shelters Pvt. Ltd,Indraprastha Shelters Pvt. Ltd\Indraprastha Equinox 9000 sft 2nd floor fully furnished ppt.pptx,PPTX,7140.79,13,"PPTX Table (Slide 8), PPTX Table (Slide 9)",100% EXTRACTED
K Raheja Corp,K Raheja Corp (Cignus),K Raheja Corp (Cignus)\Availability - June_26.pdf,PDF_NATIVE,2743.49,14,PDF Table (Pg 3),100% EXTRACTED
K Raheja Corp,K Raheja Corp (Cignus),K Raheja Corp (Cignus)\Cignus Koramangala.pdf,PDF_NATIVE,770.13,1,PDF Text Analysis (Pg 7),100% EXTRACTED
K Raheja Corp,K Raheja Corp (Cignus),"K Raheja Corp (Cignus)\Cignus, Whitefield.pdf",PDF_NATIVE,2221.63,17,"PDF Table (Pg 3), PDF Table (Pg 5), PDF Text Analysis (Pg 4), PDF Text Analysis (Pg 7)",100% EXTRACTED
Kalyani Developers,Kalyani Developers,"Kalyani Developers\August 2026 Kalyani Developers - Bangalore  Hyderabad--Availability Conventional , Managed Space  Industrial.xlsx",XLSX,36.37,20,"Excel Transposed Matrix (Industrial 2026), Excel Transposed Matrix (Managed Office -2026), Excel Transposed Matrix (Warmshell&Furnished-2026)",100% EXTRACTED
